"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 24 12:43:37 UTC 2025","Thu Jul 24 12:43:38 UTC 2025","1094","","com.swaglabs.tests.LoginTests","","com.swaglabs.tests.LoginTests","testLoginWithValidData","testLoginWithValidData(String, String, boolean, String) [1] standard_user, secret_sauce, true, Login successful","Test login functionality with various credentials"
"passed","Thu Jul 24 12:43:36 UTC 2025","Thu Jul 24 12:43:37 UTC 2025","917","","com.swaglabs.tests.LoginTests","","com.swaglabs.tests.LoginTests","testLoginWithInvalidData","testLoginWithInvalidData(String, String, boolean, String) [8] standard_user, SECRET_SAUCE, false, Epic sadface: Username and password do not match any user in this service","Test login functionality with various credentials"
"passed","Thu Jul 24 12:44:11 UTC 2025","Thu Jul 24 12:44:12 UTC 2025","1223","","com.swaglabs.tests.CartTests","","com.swaglabs.tests.CartTests","testAddToCart","testAddToCart(String, String, boolean) [2] Sauce Labs Backpack,Sauce Labs Bike Light, 2, true","Test adding products to cart and verifying cart count"
"passed","Thu Jul 24 12:43:36 UTC 2025","Thu Jul 24 12:43:36 UTC 2025","933","","com.swaglabs.tests.LoginTests","","com.swaglabs.tests.LoginTests","testLoginWithInvalidData","testLoginWithInvalidData(String, String, boolean, String) [7] STANDARD_USER, secret_sauce, false, Epic sadface: Username and password do not match any user in this service","Test login functionality with various credentials"
"passed","Thu Jul 24 12:44:10 UTC 2025","Thu Jul 24 12:44:11 UTC 2025","1119","","com.swaglabs.tests.CartTests","","com.swaglabs.tests.CartTests","testAddToCart","testAddToCart(String, String, boolean) [1] Sauce Labs Backpack, 1, true","Test adding products to cart and verifying cart count"
"passed","Thu Jul 24 12:43:31 UTC 2025","Thu Jul 24 12:43:32 UTC 2025","940","","com.swaglabs.tests.LoginTests","","com.swaglabs.tests.LoginTests","testLoginWithInvalidData","testLoginWithInvalidData(String, String, boolean, String) [2] standard_user, invalid_pass, false, Epic sadface: Username and password do not match any user in this service","Test login functionality with various credentials"
"passed","Thu Jul 24 12:44:12 UTC 2025","Thu Jul 24 12:44:24 UTC 2025","11072","","com.swaglabs.tests.CartTests","","com.swaglabs.tests.CartTests","testAddToCart","testAddToCart(String, String, boolean) [3] Sauce Labs Backpack, 0, false","Test adding products to cart and verifying cart count"
"passed","Thu Jul 24 12:43:32 UTC 2025","Thu Jul 24 12:43:33 UTC 2025","909","","com.swaglabs.tests.LoginTests","","com.swaglabs.tests.LoginTests","testLoginWithInvalidData","testLoginWithInvalidData(String, String, boolean, String) [3] , , false, Epic sadface: Username is required","Test login functionality with various credentials"
"failed","Thu Jul 24 12:43:48 UTC 2025","Thu Jul 24 12:43:49 UTC 2025","1062","","com.swaglabs.tests.CartTests","","com.swaglabs.tests.CartTests","testCheckoutButtonEmptyCart","testCheckoutButtonEmptyCart()","Verify checkout button is disabled with empty cart"
"passed","Thu Jul 24 12:43:17 UTC 2025","Thu Jul 24 12:43:30 UTC 2025","12588","","com.swaglabs.tests.LoginTests","","com.swaglabs.tests.LoginTests","testLoginPageFormDisplay","testLoginPageFormDisplay()","Verify login page displays form correctly"
"passed","Thu Jul 24 12:44:24 UTC 2025","Thu Jul 24 12:44:25 UTC 2025","1126","","com.swaglabs.tests.CartTests","","com.swaglabs.tests.CartTests","testCartPageDisplay","testCartPageDisplay()","Verify cart page displays items and checkout button"
"passed","Thu Jul 24 12:44:24 UTC 2025","Thu Jul 24 12:44:24 UTC 2025","784","","com.swaglabs.tests.CartTests","","com.swaglabs.tests.CartTests","testAddToCartWithoutLogin","testAddToCartWithoutLogin()","Verify adding to cart without login"
"passed","Thu Jul 24 12:43:38 UTC 2025","Thu Jul 24 12:43:39 UTC 2025","923","","com.swaglabs.tests.LoginTests","","com.swaglabs.tests.LoginTests","testLoginWithValidData","testLoginWithValidData(String, String, boolean, String) [2] problem_user, secret_sauce, true, Login successful","Test login functionality with various credentials"
"passed","Thu Jul 24 12:43:35 UTC 2025","Thu Jul 24 12:43:36 UTC 2025","938","","com.swaglabs.tests.LoginTests","","com.swaglabs.tests.LoginTests","testLoginWithInvalidData","testLoginWithInvalidData(String, String, boolean, String) [6] locked_out_user, secret_sauce, false, Epic sadface: Sorry, this user has been locked out.","Test login functionality with various credentials"
"passed","Thu Jul 24 12:43:34 UTC 2025","Thu Jul 24 12:43:35 UTC 2025","913","","com.swaglabs.tests.LoginTests","","com.swaglabs.tests.LoginTests","testLoginWithInvalidData","testLoginWithInvalidData(String, String, boolean, String) [5] , secret_sauce, false, Epic sadface: Username is required","Test login functionality with various credentials"
"passed","Thu Jul 24 12:43:30 UTC 2025","Thu Jul 24 12:43:31 UTC 2025","1157","","com.swaglabs.tests.LoginTests","","com.swaglabs.tests.LoginTests","testLoginWithInvalidData","testLoginWithInvalidData(String, String, boolean, String) [1] invalid_user, secret_sauce, false, Epic sadface: Username and password do not match any user in this service","Test login functionality with various credentials"
"passed","Thu Jul 24 12:43:45 UTC 2025","Thu Jul 24 12:43:46 UTC 2025","792","","com.swaglabs.tests.LoginTests","","com.swaglabs.tests.LoginTests","testRestrictedPageAccess","testRestrictedPageAccess()","Verify restricted page access without login"
"passed","Thu Jul 24 12:43:39 UTC 2025","Thu Jul 24 12:43:45 UTC 2025","5934","","com.swaglabs.tests.LoginTests","","com.swaglabs.tests.LoginTests","testLoginWithValidData","testLoginWithValidData(String, String, boolean, String) [3] performance_glitch_user, secret_sauce, true, Login successful","Test login functionality with various credentials"
"passed","Thu Jul 24 12:43:49 UTC 2025","Thu Jul 24 12:44:10 UTC 2025","21204","","com.swaglabs.tests.CartTests","","com.swaglabs.tests.CartTests","testRemoveFromCart","testRemoveFromCart()","Verify removing product from cart"
"passed","Thu Jul 24 12:43:46 UTC 2025","Thu Jul 24 12:43:48 UTC 2025","1686","","com.swaglabs.tests.LoginTests","","com.swaglabs.tests.LoginTests","testLogout","testLogout()","Verify logout functionality after successful login"
"passed","Thu Jul 24 12:43:33 UTC 2025","Thu Jul 24 12:43:34 UTC 2025","905","","com.swaglabs.tests.LoginTests","","com.swaglabs.tests.LoginTests","testLoginWithInvalidData","testLoginWithInvalidData(String, String, boolean, String) [4] standard_user, , false, Epic sadface: Password is required","Test login functionality with various credentials"
